"Key","en","hi","bn","gu","ml","mr","ta","te","ur"
"advanced-automation","Advanced Automation","उन्नत स्वचालन","উন্নত অটোমেশন","અદ્યતન સ્વચાલિત","വിപുലമായ ഓട്ടോമേഷൻ","प्रगत ऑटोमेशन","மேம்பட்ட ஆட்டோமேஷன்","అధునాతన ఆటోమేషన్","اعلی درجے کی آٹومیشن"
"deep-linking","App Links","ऐप लिंक","অ্যাপ্লিকেশন লিঙ্ক","એપ્લિકેશન લિંક્સ","അപ്ലിക്കേഷൻ ലിങ്കുകൾ","अ‍ॅप दुवे","பயன்பாட்டு இணைப்புகள்","అనువర్తన లింకులు","ایپ لنکس"
"deep-linking-description","Automate the insertion of transactions using app URLs. Tap to learn more and view the documentation.","ऐप यूआरएल का उपयोग करके लेनदेन के सम्मिलन को स्वचालित करें। अधिक जानने के लिए टैप करें और प्रलेखन देखें।","অ্যাপ্লিকেশন ইউআরএল ব্যবহার করে লেনদেনের সন্নিবেশ স্বয়ংক্রিয় করুন। আরও জানতে এবং ডকুমেন্টেশন দেখতে আলতো চাপুন।","એપ્લિકેશન URL નો ઉપયોગ કરીને ટ્રાન્ઝેક્શનના નિવેશને સ્વચાલિત કરો. વધુ જાણવા અને દસ્તાવેજીકરણ જોવા માટે ટેપ કરો.","അപ്ലിക്കേഷൻ URL- കൾ ഉപയോഗിച്ച് ഇടപാടുകളുടെ ഉൾപ്പെടുത്തൽ യാന്ത്രികമാക്കുക. കൂടുതലറിയാൻ ടാപ്പുചെയ്ത് ഡോക്യുമെന്റേഷൻ കാണുക.","अ‍ॅप URL वापरून व्यवहार समाविष्ट करणे स्वयंचलित करा. अधिक जाणून घेण्यासाठी टॅप करा आणि दस्तऐवजीकरण पाहा.","பயன்பாட்டு URL களைப் பயன்படுத்தி பரிவர்த்தனைகளைச் செருகுவதை தானியக்கமாக்குங்கள். மேலும் அறியவும் ஆவணங்களைக் காணவும் தட்டவும்.","అనువర్తన URL లను ఉపయోగించి లావాదేవీలను చొప్పించడాన్ని ఆటోమేట్ చేయండి. మరింత తెలుసుకోవడానికి నొక్కండి మరియు డాక్యుమెంటేషన్ చూడటానికి.","ایپ یو آر ایل کا استعمال کرتے ہوئے لین دین کے اندراج کو خود کار بنائیں۔ مزید جاننے کے لئے ٹیپ کریں اور دستاویزات کو دیکھیں۔"
"added-transaction","Added Transaction","जोड़ा गया लेनदेन","যুক্ত লেনদেন","ઉમેરાયેલ લેવડદેવડ","ഇടപാട് ചേർത്തു","जोडलेला व्यवहार","பரிவர்த்தனை சேர்க்கப்பட்டது","లావాదేవీ జోడించబడింది","شامل ٹرانزیکشن"
"custom-format","Custom Format","कस्टम प्रारूप","কাস্টম ফর্ম্যাট","રિવાજ ફોર્મેટ","ഇഷ്ടാനുസൃത ഫോർമാറ്റ്","सानुकूल स्वरूप","தனிப்பயன் வடிவம்","అనుకూల ఆకృతి","کسٹم فارمیٹ"
"delimiter","Delimiter","सीमान्तक","ডিলিমিটার","ડિલિમિટર","ഡിലിമിറ്റർ","डिलिमीटर","டிலிமிட்டர்","డీలిమిటర్","حد بندی"
"decimal","Decimal","दशमलव","দশমিক","દશાંશ","ദശാംശ","दशांश","தசம","దశాంశం","اعشاریہ"
"symbol","Symbol","प्रतीक","প্রতীক","પ્રતીક","പതീകം","चिन्ह","சின்னம்","చిహ్నం","علامت"
"before","Before","पहले","আগে","પહેલાં","അതിനുമുന്വ്്","आधी","முன்","ముందు","پہلے"
"after","After","बाद","পরে","પછી","ശേഷം","नंतर","பிறகு","తరువాత","کے بعد"
"delimiter-symbol","Delimiter symbol","सीमांकक प्रतीक","ডিলিমিটার প্রতীক","સરહદ પ્રતીક","ഡിലിമിറ്റർ ചിഹ്നം","डिलिमीटर प्रतीक","டிலிமிட்டர் சின்னம்","డీలిమిటర్ చిహ్నం","حد بندی کی علامت"
"decimal-symbol","Decimal symbol","दशमलव प्रतीक","দশমিক প্রতীক","દશાંશ પ્રતીક","ദശാംശ ചിഹ്നം","दशांश प्रतीक","தசம சின்னம்","దశాంశ చిహ్నం","اعشاریہ علامت"
"set-delimiter","Set Delimiter","सीमांकक सेट करें","ডিলিমিটার সেট করুন","સીમિત","ഡെലിമിറ്റർ സജ്ജമാക്കുക","डिलिमीटर सेट करा","டிலிமிட்டரை அமைக்கவும்","డీలిమిటర్‌ను సెట్ చేయండి","ڈیمیٹر سیٹ کریں"
"set-decimal","Set Decimal","दशमलव सेट करें","দশমিক সেট করুন","દશાંશ નક્કી કરવું","ദശാംശ സജ്ജമാക്കുക","दशांश सेट करा","தசமத்தை அமைக்கவும்","దశాంశాన్ని సెట్ చేయండి","اعشاریہ طے کریں"
"no-outgoing-within-period","No outgoing transactions within selected time period","चयनित समय अवधि के भीतर कोई निवर्तमान लेनदेन नहीं","নির্বাচিত সময়কালের মধ্যে কোনও বহির্গামী লেনদেন নেই","પસંદ કરેલા સમયગાળાની અંદર કોઈ આઉટગોઇંગ ટ્રાન્ઝેક્શન નથી","തിരഞ്ഞെടുത്ത കാലയളവിനുള്ളിൽ going ട്ട്ഗോയിംഗ് ഇടപാടുകളൊന്നുമില്ല","निवडलेल्या कालावधीत कोणतेही आउटगोइंग व्यवहार नाहीत","தேர்ந்தெடுக்கப்பட்ட காலத்திற்குள் வெளிச்செல்லும் பரிவர்த்தனைகள் இல்லை","ఎంచుకున్న వ్యవధిలో అవుట్గోయింగ్ లావాదేవీలు లేవు","منتخب کردہ وقت کے اندر باہر جانے والے لین دین نہیں"
"no-incoming-within-period","No incoming transactions within selected time period","चयनित समय अवधि के भीतर कोई आने वाला लेनदेन नहीं","নির্বাচিত সময়কালের মধ্যে কোনও আগত লেনদেন নেই","પસંદ કરેલા સમયગાળાની અંદર આવનારા વ્યવહારો નથી","തിരഞ്ഞെടുത്ത കാലയളവിനുള്ളിൽ ഇൻകമിംഗ് ഇടപാടുകളൊന്നുമില്ല","निवडलेल्या कालावधीत येण्याचे व्यवहार नाहीत","தேர்ந்தெடுக்கப்பட்ட காலத்திற்குள் உள்வரும் பரிவர்த்தனைகள் இல்லை","ఎంచుకున్న కాల వ్యవధిలో ఇన్కమింగ్ లావాదేవీలు లేవు","منتخب کردہ وقت کی مدت میں آنے والے لین دین نہیں"
"no-expense-within-period","No expense transactions within selected time period","चयनित समय अवधि के भीतर कोई व्यय लेनदेन नहीं","নির্বাচিত সময়কালের মধ্যে কোনও ব্যয় লেনদেন নেই","પસંદ કરેલા સમયગાળાની અંદર કોઈ ખર્ચ વ્યવહાર નથી","തിരഞ്ഞെടുത്ത കാലയളവിനുള്ളിൽ ചെലവ് ഇടപാടുകളൊന്നുമില്ല","निवडलेल्या कालावधीत कोणताही खर्च व्यवहार नाही","தேர்ந்தெடுக்கப்பட்ட காலத்திற்குள் செலவு பரிவர்த்தனைகள் இல்லை","ఎంచుకున్న కాల వ్యవధిలో ఖర్చు లావాదేవీలు లేవు","منتخب کردہ وقت کے اندر کوئی اخراجات کا لین دین نہیں"
"no-income-within-period","No income transactions within selected time period","चयनित समय अवधि के भीतर कोई आय लेनदेन नहीं","নির্বাচিত সময়কালের মধ্যে কোনও আয়ের লেনদেন নেই","પસંદ કરેલા સમયગાળાની અંદર કોઈ આવક વ્યવહાર નથી","തിരഞ്ഞെടുത്ത സമയ കാലയളവിനുള്ളിൽ വരുമാന ഇടപാടുകളൊന്നുമില്ല","निवडलेल्या कालावधीत उत्पन्नाचे कोणतेही व्यवहार नाहीत","தேர்ந்தெடுக்கப்பட்ட காலத்திற்குள் வருமான பரிவர்த்தனைகள் இல்லை","ఎంచుకున్న వ్యవధిలో ఆదాయ లావాదేవీలు లేవు","منتخب کردہ وقت کی مدت میں آمدنی کا کوئی لین دین نہیں ہے"
"select-all","Select All","सबका चयन करें","সমস্ত নির্বাচন করুন","બધા પસંદ કરો","എല്ലാം തിരഞ്ഞെടുക്കുക","सर्व निवडा","அனைத்தையும் தெரிவுசெய்","అన్ని ఎంచుకోండి","تمام منتخب کریں"
"excluded","Excluded","छोड़ा गया","ছাঁটা","બાકાત","ഒഴിവാക്കി","वगळले","விலக்கப்பட்டது","మినహాయించబడింది","خارج"
"maximum-transactions","Maximum Transactions","अधिकतम लेनदेन","সর্বাধিক লেনদেন","મહત્તમ વ્યવહાર","പരമാവധി ഇടപാടുകൾ","जास्तीत जास्त व्यवहार","அதிகபட்ச பரிவர்த்தனைகள்","గరిష్ట లావాదేవీలు","زیادہ سے زیادہ لین دین"
"only-the-first","Only the first","केवल पहला","শুধুমাত্র প্রথম","માત્ર પ્રથમ","ആദ്യത്തേത് മാത്രം","फक्त प्रथम","முதல் மட்டுமே","మొదటిది మాత్రమే","صرف پہلا"
"restart-required-to-load-backup","An app restart is required to load data from a backup","बैकअप से डेटा लोड करने के लिए एक ऐप रिस्टार्ट की आवश्यकता होती है","ব্যাকআপ থেকে ডেটা লোড করতে একটি অ্যাপ্লিকেশন পুনরায় আরম্ভ করা প্রয়োজন","બેકઅપમાંથી ડેટા લોડ કરવા માટે એપ્લિકેશન ફરીથી પ્રારંભ કરવો જરૂરી છે","ബാക്കപ്പിൽ നിന്ന് ഡാറ്റ ലോഡുചെയ്യുന്നതിന് ഒരു അപ്ലിക്കേഷൻ പുനരാരംഭിക്കൽ ആവശ്യമാണ്","बॅकअपमधून डेटा लोड करण्यासाठी अॅप रीस्टार्ट आवश्यक आहे","காப்புப்பிரதியிலிருந்து தரவை ஏற்ற பயன்பாட்டு மறுதொடக்கம் தேவை","బ్యాకప్ నుండి డేటాను లోడ్ చేయడానికి అనువర్తన పున art ప్రారంభం అవసరం","بیک اپ سے ڈیٹا لوڈ کرنے کے لئے ایک ایپ کو دوبارہ شروع کرنے کی ضرورت ہے"
"refresh-required-to-load-backup","An webpage refresh is required to load data from a backup","बैकअप से डेटा लोड करने के लिए एक ऐप रिफ्रेश की आवश्यकता होती है","ব্যাকআপ থেকে ডেটা লোড করতে একটি অ্যাপ্লিকেশন রিফ্রেশ প্রয়োজন","બેકઅપમાંથી ડેટા લોડ કરવા માટે એક એપ્લિકેશન તાજું જરૂરી છે","ബാക്കപ്പിൽ നിന്ന് ഡാറ്റ ലോഡുചെയ്യുന്നതിന് ഒരു അപ്ലിക്കേഷൻ പുതുക്കൽ ആവശ്യമാണ്","बॅकअपमधून डेटा लोड करण्यासाठी अॅप रीफ्रेश आवश्यक आहे","காப்புப்பிரதியிலிருந்து தரவை ஏற்ற பயன்பாட்டு புதுப்பிப்பு தேவை","బ్యాకప్ నుండి డేటాను లోడ్ చేయడానికి అనువర్తనం రిఫ్రెష్ అవసరం","بیک اپ سے ڈیٹا لوڈ کرنے کے لئے ایک ایپ ریفریش کی ضرورت ہے"
"please-restart-the-application","Please Restart the Application","कृपया आवेदन को पुनरारंभ करें","আবেদনটি পুনরায় চালু করুন","કૃપા કરીને એપ્લિકેશન ફરીથી પ્રારંભ કરો","ആപ്ലിക്കേഷൻ പുനരാരംഭിക്കുക","कृपया अर्ज पुन्हा सुरू करा","விண்ணப்பத்தை மறுதொடக்கம் செய்யுங்கள்","దయచేసి దరఖాస్తును పున art ప్రారంభించండి","براہ کرم درخواست کو دوبارہ شروع کریں"
"please-refresh-the-application","Please Refresh the Page","कृपया आवेदन को ताज़ा करें","অ্যাপ্লিকেশনটি রিফ্রেশ করুন","કૃપા કરીને એપ્લિકેશનને તાજું કરો","ആപ്ലിക്കേഷൻ പുതുക്കുക","कृपया अनुप्रयोग रीफ्रेश करा","விண்ணப்பத்தை புதுப்பிக்கவும்","దయచేసి దరఖాస్తును రిఫ్రెష్ చేయండి","براہ کرم درخواست کو تازہ کریں"
"only-expense-income","Only Expense & Income","केवल व्यय एवं आय","শুধুমাত্র ব্যয় এবং আয়","માત્ર ખર્ચ અને આવક","ചെലവും വരുമാനവും മാത്രം","फक्त खर्च आणि उत्पन्न","செலவு மற்றும் வருமானம் மட்டுமே","ఖర్చు & ఆదాయం మాత్రమే","صرف اخراجات اور آمدنی"
"only-expense-income-description-1","Don't include all outgoing/incoming","सभी आउटगोइंग/इनकमिंग को शामिल न करें","সমস্ত বহির্গামী/আগত অন্তর্ভুক্ত করবেন না","બધા આઉટગોઇંગ/ઇનકમિંગ શામેલ કરશો નહીં","എല്ലാ going ട്ട്ഗോയിംഗ് / ഇൻകമിംഗ് ഉൾപ്പെടുത്തരുത്","सर्व आउटगोइंग/इनकमिंग समाविष्ट करू नका","வெளிச்செல்லும்/உள்வரும் அனைத்தையும் சேர்க்க வேண்டாம்","అన్ని అవుట్గోయింగ్/ఇన్కమింగ్ చేర్చవద్దు","سبکدوش ہونے والے/آنے والے تمام کو شامل نہ کریں"
"only-expense-income-description-2","Example: Do not include loans","उदाहरण: ऋण शामिल न करें","উদাহরণ: loans ণ অন্তর্ভুক্ত করবেন না","ઉદાહરણ: લોન શામેલ કરશો નહીં","ഉദാഹരണം: വായ്പകൾ ഉൾപ്പെടുത്തരുത്","उदाहरणः कर्ज समाविष्ट करू नका","எடுத்துக்காட்டு: கடன்களைச் சேர்க்க வேண்டாம்","ఉదాహరణ: రుణాలు చేర్చవద్దు","مثال: قرضوں کو شامل نہ کریں"
"compact-number-format","Compact Number Format","कॉम्पैक्ट संख्या प्रारूप","কমপ্যাক্ট নম্বর ফর্ম্যাট","કોમ્પેક્ટ નંબર ફોર્મેટ","കോംപാക്റ്റ് നമ്പർ ഫോർമാറ്റ്","कॉम्पॅक्ट नंबर स्वरूप","சிறிய எண் வடிவம்","కాంపాక్ట్ నంబర్ ఫార్మాట్","کمپیکٹ نمبر فارمیٹ"
"positive-cash-flow","Positive Cash Flow","सकारात्मक नकदी प्रवाह","ইতিবাচক নগদ প্রবাহ","સકારાત્મક રોકડ પ્રવાહ","പോസിറ്റീവ് പണമൊഴുക്ക്","सकारात्मक रोख प्रवाह","நேர்மறையான பணப்புழக்கம்","సానుకూల నగదు ప్రవాహం","مثبت نقد بہاؤ"
"negative-cash-flow","Negative Cash Flow","ऋणात्मक नकदी प्रवाह","নেতিবাচক নগদ প্রবাহ","નકારાત્મક રોકડ પ્રવાહ","നെഗറ്റീവ് ക്യാഷ് ഫ്ലോ","नकारात्मक रोख प्रवाह","எதிர்மறை பணப்புழக்கம்","ప్రతికూల నగదు ప్రవాహం","منفی نقد بہاؤ"
"number-animation","Number Animation","संख्या एनीमेशन","নম্বর অ্যানিমেশন","સંખ્યા","നമ്പർ ആനിമേഷൻ","क्रमांक अ‍ॅनिमेशन","எண் அனிமேஷன்","సంఖ్య యానిమేషన్","نمبر حرکت پذیری"
"count-up","Count Up","गिनती","গননা","ગણતરી","എണ്ണുക","मोजा","எண்ணுங்கள்","లెక్కించండి","گنتی"
"disabled","Disabled","अक्षम","অক্ষম","અયોગ્ય","അശക്തനായ","अक्षम","முடக்கப்பட்டது","నిలిపివేయబడింది","غیر فعال"
"set-period-length","Set Period Length","अवधि की लंबाई निर्धारित करें","সময়কাল দৈর্ঘ্য সেট","સમયગાળો લંબાઈ","നിശ്ചിത കാലയളവ് സജ്ജമാക്കുക","कालावधी लांबी सेट करा","கால நீளத்தை அமைக்கவும்","వ్యవధి పొడవును సెట్ చేయండి","مدت کی لمبائی طے کریں"
"change-currency-description","The app currency is related to the selected account. Edit the account to change the currency.","ऐप मुद्रा चयनित खाते से संबंधित है। मुद्रा को बदलने के लिए खाता संपादित करें।","অ্যাপ্লিকেশন মুদ্রা নির্বাচিত অ্যাকাউন্টের সাথে সম্পর্কিত। মুদ্রা পরিবর্তন করতে অ্যাকাউন্টটি সম্পাদনা করুন।","એપ્લિકેશન ચલણ પસંદ કરેલા એકાઉન્ટથી સંબંધિત છે. ચલણ બદલવા માટે એકાઉન્ટને સંપાદિત કરો.","അപ്ലിക്കേഷൻ കറൻസി തിരഞ്ഞെടുത്ത അക്കൗണ്ടുമായി ബന്ധപ്പെട്ടിരിക്കുന്നു. കറൻസി മാറ്റുന്നതിന് അക്കൗണ്ട് എഡിറ്റുചെയ്യുക.","अ‍ॅप चलन निवडलेल्या खात्याशी संबंधित आहे. चलन बदलण्यासाठी खाते संपादित करा.","பயன்பாட்டு நாணயம் தேர்ந்தெடுக்கப்பட்ட கணக்குடன் தொடர்புடையது. நாணயத்தை மாற்ற கணக்கைத் திருத்தவும்.","అనువర్తన కరెన్సీ ఎంచుకున్న ఖాతాకు సంబంధించినది. కరెన్సీని మార్చడానికి ఖాతాను సవరించండి.","ایپ کرنسی کا تعلق منتخب اکاؤنٹ سے ہے۔ کرنسی کو تبدیل کرنے کے لئے اکاؤنٹ میں ترمیم کریں۔"
"primary-default","Primary","गलती करना","ডিফল্ট","ચૂક","കുറ്റം","डीफॉल्ट","இயல்புநிலை","డిఫాల్ట్","پہلے سے طے شدہ"
"short-number-format","Short Number Format","अल्प संख्या प्रारूप","স্বল্প সংখ্যা ফর্ম্যাট","ટૂંકા નંબરનું બંધારણ","ഹ്രസ്വ നമ്പർ ഫോർമാറ്റ്","लहान क्रमांक स्वरूप","குறுகிய எண் வடிவம்","చిన్న సంఖ్య ఆకృతి","مختصر نمبر کی شکل"
"primary-currency","Primary Currency","प्राथमिक मुद्रा","প্রাথমিক মুদ্রা","પ્રાથમિક ચલણ","പ്രാഥമിക കറൻസി","प्राथमिक चलन","முதன்மை நாணயம்","ప్రాథమిక కరెన్సీ","بنیادی کرنسی"
"change-title","Change Title","शीर्षक बदलें","শিরোনাম পরিবর্তন করুন","શીર્ષક બદલો","തലക്കെട്ട് മാറ്റുക","शीर्षक बदला","தலைப்பை மாற்றவும்","శీర్షిక మార్చండి","عنوان تبدیل کریں۔"
"changed-title","Changed Title","बदला गया शीर्षक","পরিবর্তিত শিরোনাম","શીર્ષક બદલ્યું","തലക്കെട്ട് മാറ്റി","शीर्षक बदलले","தலைப்பு மாற்றப்பட்டது","శీర్షిక మార్చబడింది","تبدیل شدہ عنوان"
"edit","Edit","संपादन करना","সম্পাদনা করুন","સંપાદિત કરો","എഡിറ്റ് ചെയ്യുക","सुधारणे","தொகு","సవరించు","ترمیم"
"edit-transactions","Edit Transactions","लेन-देन संपादित करें","লেনদেন সম্পাদনা করুন","વ્યવહારો સંપાદિત કરો","ഇടപാടുകൾ എഡിറ്റ് ചെയ്യുക","व्यवहार संपादित करा","பரிவர்த்தனைகளைத் திருத்தவும்","లావాదేవీలను సవరించండి","لین دین میں ترمیم کریں۔"
"transaction-list","Transaction List","लेन-देन सूची","লেনদেনের তালিকা","વ્યવહાર સૂચિ","ഇടപാട് ലിസ്റ്റ്","व्यवहार यादी","பரிவர்த்தனை பட்டியல்","లావాదేవీల జాబితా","لین دین کی فہرست"
"transaction-list-home-description","Lists the last 7 days containing a transaction","लेन-देन वाले अंतिम 7 दिनों की सूची","একটি লেনদেন সম্বলিত শেষ 7 দিনের তালিকা করে","ટ્રાન્ઝેક્શન ધરાવતા છેલ્લા 7 દિવસની યાદી આપે છે","ഒരു ഇടപാട് അടങ്ങുന്ന അവസാന 7 ദിവസത്തെ ലിസ്റ്റുകൾ","व्यवहार असलेले शेवटचे 7 दिवस सूचीबद्ध करते","பரிவர்த்தனையைக் கொண்ட கடந்த 7 நாட்களைப் பட்டியலிடுகிறது","లావాదేవీని కలిగి ఉన్న గత 7 రోజుల జాబితా","لین دین پر مشتمل آخری 7 دنوں کی فہرست"
"and-any-transactions","and any transactions","और कोई भी लेनदेन","এবং কোনো লেনদেন","અને કોઈપણ વ્યવહારો","കൂടാതെ ഏതെങ്കിലും ഇടപാടുകൾ","आणि कोणतेही व्यवहार","மற்றும் ஏதேனும் பரிவர்த்தனைகள்","మరియు ఏదైనా లావాదేవీలు","اور کوئی بھی لین دین"
"days-ahead","days ahead","भविष्य में दिन","ভবিষ্যতের দিন","ભવિષ્યમાં દિવસો","ഭാവിയിലെ ദിവസങ്ങൾ","भविष्यातील दिवस","எதிர்காலத்தில் நாட்கள்","భవిష్యత్తులో రోజులు","مستقبل میں دن"
"day-ahead","day ahead","भविष्य में दिन","ভবিষ্যতের দিন","ભવિષ્યમાં દિવસ","ഭാവിയിലെ ദിവസം","भविष्यातील दिवस","எதிர்காலத்தில் நாள்","భవిష్యత్తులో రోజు","مستقبل میں دن"
"future-transaction-days","Future Transaction Days","भविष्य के लेन-देन के दिन","ভবিষ্যতের লেনদেনের দিন","ભાવિ વ્યવહાર દિવસો","ഭാവി ഇടപാട് ദിനങ്ങൾ","भविष्यातील व्यवहार दिवस","எதிர்கால பரிவர்த்தனை நாட்கள்","భవిష్యత్ లావాదేవీ రోజులు","مستقبل کے لین دین کے دن"
"future-transaction-days-description","Days ahead to list transactions","लेन-देन सूचीबद्ध करने के लिए आगे के दिन","লেনদেনের তালিকা করতে দিন এগিয়ে","વ્યવહારોની સૂચિ બનાવવાના દિવસો આગળ છે","ഇടപാടുകൾ ലിസ്റ്റ് ചെയ്യാൻ ദിവസങ്ങൾ മുന്നിലാണ്","व्यवहारांची यादी करण्यासाठी काही दिवस पुढे आहेत","பரிவர்த்தனைகளை பட்டியலிட இன்னும் நாட்கள் உள்ளன","లావాదేవీలను జాబితా చేయడానికి రోజుల ముందు","لین دین کی فہرست میں دن آگے ہیں۔"
"error-parsing-json","Error Parsing JSON","JSON को पार्स करने में त्रुटि","JSON পার্সিং ত্রুটি৷","JSON પાર્સિંગમાં ભૂલ","JSON പാഴ്‌സ് ചെയ്യുന്നതിൽ പിശക്","JSON पार्स करताना त्रुटी","JSON ஐ பாகுபடுத்துவதில் பிழை","JSONని అన్వయించడంలో లోపం","JSON کو پارس کرنے میں خرابی۔"
"transactions-in-the-csv","transactions in the CSV.","सीएसवी में लेनदेन।","CSV-এ লেনদেন।","CSV માં વ્યવહારો.","CSV-യിലെ ഇടപാടുകൾ.","CSV मध्ये व्यवहार.","CSV இல் பரிவர்த்தனைகள்.","CSVలో లావాదేవీలు.","CSV میں لین دین۔"
"errors","Errors","त्रुटियाँ","ত্রুটি","ભૂલો","പിശകുകൾ","चुका","பிழைகள்","లోపాలు","غلطیاں"
"black","Black","काला","কালো","કાળો","കറുപ്പ്","काळा","கருப்பு","నలుపు","سیاہ"
"future-transactions","Future Transactions","भविष्य के लेनदेन","ভবিষ্যতের লেনদেন","ભાવિ વ્યવહારો","ഭാവി ഇടപാടുകൾ","भविष्यातील व्यवहार","எதிர்கால பரிவர்த்தனைகள்","భవిష్యత్ లావాదేవీలు","مستقبل کے لین دین"
"hidden","hidden","छिपा हुआ","গোপন","છુપાયેલ","മറഞ്ഞിരിക്കുന്നു","लपलेले","மறைக்கப்பட்டுள்ளது","దాచబడింది","چھپا ہوا"
"present-transactions","Present Transactions","वर्तमान लेनदेन","বর্তমান লেনদেন","વર્તમાન વ્યવહારો","നിലവിലെ ഇടപാടുകൾ","सध्याचे व्यवहार","தற்போதைய பரிவர்த்தனைகள்","ప్రస్తుత లావాదేవీలు","موجودہ لین دین"
"past-transactions","Past Transactions","पिछले लेनदेन","অতীত লেনদেন","ભૂતકાળના વ્યવહારો","കഴിഞ്ഞ ഇടപാടുകൾ","मागील व्यवहार","கடந்த பரிவர்த்தனைகள்","గత లావాదేవీలు","ماضی کے لین دین"
"all-outgoing-incoming","All Outgoing & Incoming","सभी आउटगोइंग और इनकमिंग","সব আউটগোয়িং এবং ইনকামিং","બધા આઉટગોઇંગ અને ઇનકમિંગ","എല്ലാ ഔട്ട്‌ഗോയിംഗ് & ഇൻകമിംഗ്","सर्व आउटगोइंग आणि इनकमिंग","அனைத்து வெளிச்செல்லும் மற்றும் உள்வரும்","అన్ని అవుట్‌గోయింగ్ & ఇన్‌కమింగ్","تمام آؤٹ گوئنگ اور انکمنگ"
"all-outgoing-incoming-description-1","Include all negative/positive cash flow","सभी नकारात्मक/सकारात्मक नकदी प्रवाह को शामिल करें","সমস্ত নেতিবাচক/ইতিবাচক নগদ প্রবাহ অন্তর্ভুক্ত করুন","તમામ નકારાત્મક/સકારાત્મક રોકડ પ્રવાહનો સમાવેશ કરો","എല്ലാ നെഗറ്റീവ്/പോസിറ്റീവ് പണമൊഴുക്കും ഉൾപ്പെടുത്തുക","सर्व नकारात्मक/सकारात्मक रोख प्रवाह समाविष्ट करा","அனைத்து எதிர்மறை/நேர்மறை பணப்புழக்கத்தையும் சேர்க்கவும்","అన్ని ప్రతికూల/పాజిటివ్ నగదు ప్రవాహాన్ని చేర్చండి","تمام منفی/مثبت کیش فلو کو شامل کریں۔"
"all-outgoing-incoming-description-2","Example: Include loan transactions","उदाहरण: ऋण लेनदेन शामिल करें","উদাহরণ: ঋণ লেনদেন অন্তর্ভুক্ত করুন","ઉદાહરણ: લોન વ્યવહારો શામેલ કરો","ഉദാഹരണം: ലോൺ ഇടപാടുകൾ ഉൾപ്പെടുത്തുക","उदाहरण: कर्ज व्यवहार समाविष्ट करा","உதாரணம்: கடன் பரிவர்த்தனைகள் அடங்கும்","ఉదాహరణ: రుణ లావాదేవీలను చేర్చండి","مثال: قرض کے لین دین شامل کریں۔"
"applies-when-switching-tabs-in-the-homepage-transactions-list","Applies when switching tabs in the homepage transactions list","मुखपृष्ठ लेनदेन सूची में टैब स्विच करते समय लागू होता है","হোমপেজ লেনদেনের তালিকায় ট্যাব পরিবর্তন করার সময় প্রযোজ্য","હોમપેજ વ્યવહારોની સૂચિમાં ટૅબ્સ સ્વિચ કરતી વખતે લાગુ થાય છે","ഹോംപേജ് ഇടപാടുകളുടെ പട്ടികയിൽ ടാബുകൾ മാറുമ്പോൾ ബാധകമാണ്","मुख्यपृष्ठ व्यवहार सूचीमधील टॅब स्विच करताना लागू होते","முகப்புப் பரிவர்த்தனைகள் பட்டியலில் தாவல்களை மாற்றும்போது பொருந்தும்","హోమ్‌పేజీ లావాదేవీల జాబితాలో ట్యాబ్‌లను మార్చేటప్పుడు వర్తిస్తుంది","ہوم پیج لین دین کی فہرست میں ٹیبز کو تبدیل کرنے پر لاگو ہوتا ہے۔"
"number-pad-format","Number Pad Format","नंबर पैड प्रारूप","নম্বর প্যাড বিন্যাস","નંબર પેડ ફોર્મેટ","നമ്പർ പാഡ് ഫോർമാറ്റ്","क्रमांक पॅड स्वरूप","எண் பேட் வடிவம்","నంబర్ ప్యాడ్ ఫార్మాట్","نمبر پیڈ فارمیٹ"
"set-lower-range","Set Lower Range","निचली सीमा","নিম্ন পরিসর","લોઅર રેન્જ","താഴ്ന്ന ശ്രേണി","लोअर रेंज","கீழ் வரம்பு","దిగువ పరిధి","لوئر رینج"
"set-upper-range","Set Upper Range","ऊपरी सीमा","আপার রেঞ্জ","અપર રેન્જ","അപ്പർ റേഞ്ച്","वरची श्रेणी","மேல் வரம்பு","ఎగువ శ్రేణి","اپر رینج"
"set-range","Set Range","रेंज सेट करें","পরিসীমা সেট করুন","શ્રેણી સેટ કરો","ശ്രേണി സജ്ജമാക്കുക","श्रेणी सेट करा","வரம்பை அமைக்கவும்","పరిధిని సెట్ చేయండి","رینج سیٹ کریں۔"
"amount-color","Amount Color","राशि रंग","পরিমাণ রঙ","જથ્થો રંગ","തുകയുടെ നിറം","रक्कम रंग","அளவு நிறம்","మొత్తం రంగు","رقم کا رنگ"
"green-or-red","Green / Red","हरी लाल","সবুজ/লাল","લીલો/લાલ","പച്ച / ചുവപ്പ്","हिरवा / लाल","பச்சை / சிவப்பு","ఆకుపచ్చ / ఎరుపు","سبز/سرخ"
"no-color","No Color","रंग नहीं","কোন রঙ নেই","કોઈ રંગ નથી","നിറമില്ല","रंग नाही","நிறம் இல்லை","రంగు లేదు","کوئی رنگ نہیں۔"
